University Label,University ID,Neighbor Label,Neighbor ID,closeness_centrality
Nanjing University of Aeronautics & Astronautics,233,Dalian University of Technology,72,0.5576016661186013
Nanjing University of Aeronautics & Astronautics,233,Beijing Normal University,285,0.5568082311733801
Nanjing University of Aeronautics & Astronautics,233,University of Texas System,832,0.5554706267744048
Nanjing University of Aeronautics & Astronautics,233,Pennsylvania Commonwealth System of Higher Education (PCSHE),855,0.5554099792553773
Nanjing University of Aeronautics & Astronautics,233,State University System of Florida,844,0.5540790763533384
Nanjing University of Aeronautics & Astronautics,233,Xiamen University,26,0.5534160139251523
Nanjing University of Aeronautics & Astronautics,233,Max Planck Society,118,0.5529347826086957
Nanjing University of Aeronautics & Astronautics,233,East China Normal University,582,0.552574407994786
Nanjing University of Aeronautics & Astronautics,233,Hunan University,157,0.5520946385934448
Nanjing University of Aeronautics & Astronautics,233,Harvard University,580,0.5518550661748752
Nanjing University of Aeronautics & Astronautics,233,University of California Los Angeles,988,0.5513765445480164
Nanjing University of Aeronautics & Astronautics,233,University System of Georgia,834,0.5513765445480164
Nanjing University of Aeronautics & Astronautics,233,University of Illinois System,928,0.5512570437798006
Nanjing University of Aeronautics & Astronautics,233,Egyptian Knowledge Bank (EKB),1055,0.5512570437798006
Nanjing University of Aeronautics & Astronautics,233,University of New South Wales Sydney,65,0.5510778897194237
Nanjing University of Aeronautics & Astronautics,233,University College London,825,0.5507795582503248
Nanjing University of Aeronautics & Astronautics,233,White Rose University Consortium,1170,0.5507199307134351
Nanjing University of Aeronautics & Astronautics,233,University System of Ohio,908,0.5504219865829907
Nanjing University of Aeronautics & Astronautics,233,University of Sydney,71,0.5493520518358531
